Date,AL confirmed,AL deaths
2020-10-10,164526,2664
2020-10-11,165342,2664
2020-10-12,166076,2665
2020-10-13,167193,2665
2020-10-14,167977,2706
2020-10-15,169162,2756
2020-10-16,170374,2786
2020-10-17,171662,2788
2020-10-18,172626,2788
2020-10-19,173485,2789
2020-10-20,174528,2805
2020-10-21,175674,2828
2020-10-22,177064,2843
2020-10-23,180916,2859
2020-10-24,183276,2866
2020-10-25,184355,2866
2020-10-26,185320,2863
2020-10-27,186436,2890
2020-10-28,187705,2909
2020-10-29,189149,2911
2020-10-30,190496,2930
2020-10-31,192285,2964
2020-11-01,193983,2970
2020-11-02,194885,2970
2020-11-03,195929,2983
2020-11-04,197777,3001
2020-11-05,199158,3021
2020-11-06,200713,3046
2020-11-07,202482,3079
2020-11-08,203687,3080
2020-11-09,204856,3080
2020-11-10,206567,3116
2020-11-11,208636,3197
2020-11-12,210637,3209
2020-11-13,213617,3229
2020-11-14,215843,3244
2020-11-15,217822,3246
2020-11-16,219232,3247
2020-11-17,220846,3296
2020-11-18,223486,3342
2020-11-19,225910,3413
2020-11-20,228373,3446
2020-11-21,230708,3455
2020-11-22,232506,3455
2020-11-23,234078,3457
2020-11-24,236865,3470
2020-11-25,239318,3530
2020-11-26,241957,3570
2020-11-27,242874,3570
2020-11-28,244993,3570
2020-11-29,247229,3575
2020-11-30,249523,3576
2020-12-01,252900,3635
2020-12-02,256828,3709
2020-12-03,260359,3774
2020-12-04,264199,3829
2020-12-05,267589,3874
2020-12-06,269877,3886
2020-12-07,272228,3889
2020-12-08,276665,3938
2020-12-09,280187,3982
2020-12-10,284922,4029
2020-12-11,288775,4079
2020-12-12,288775,4079
2020-12-13,288775,4079
2020-12-14,297887,4099
2020-12-15,301533,4124
2020-12-16,305640,4197
2020-12-17,310335,4253
2020-12-18,315683,4296
2020-12-19,319904,4389
2020-12-20,322451,4389
2020-12-21,324832,4389
2020-12-22,329811,4452
2020-12-23,334569,4587
2020-12-24,338801,4676
2020-12-25,342424,4680
2020-12-26,343456,4683
2020-12-27,345628,4689
2020-12-28,347894,4710
2020-12-29,351804,4737
2020-12-30,356820,4774
2020-12-31,361226,4827
2021-01-01,365747,4871
2021-01-02,369458,4871
2021-01-03,371934,4872
2021-01-04,374094,4877
2021-01-05,379593,4885
2021-01-06,384184,4992
2021-01-07,389230,5078
2021-01-08,394287,5191
2021-01-09,399150,5299
2021-01-10,401900,5333
2021-01-11,403997,5346
2021-01-12,407840,5568
2021-01-13,410985,5753
2021-01-14,414576,5941
2021-01-15,417528,6027
2021-01-16,420681,6118
2021-01-17,422598,6118
2021-01-18,424027,6119
2021-01-19,426543,6125
2021-01-20,429655,6282
2021-01-21,432536,6379
2021-01-22,436087,6486
2021-01-23,439442,6657
2021-01-24,441170,6660
2021-01-25,443009,6662
2021-01-26,445908,6895
2021-01-27,449086,7170
2021-01-28,452730,7338
2021-01-29,455582,7564
2021-01-30,455582,7566
2021-01-31,459639,7688
2021-02-01,460860,7688
2021-02-02,462918,7894
2021-02-03,465056,8203
2021-02-04,467823,8365
2021-02-05,469319,8449
2021-02-06,471312,8522
2021-02-07,472432,8524
2021-02-08,473365,8531
2021-02-09,474678,8588
2021-02-10,476068,8889
2021-02-11,477624,9022
2021-02-12,478716,9181
2021-02-13,479885,9244
2021-02-14,480946,9244
2021-02-15,481617,9246
2021-02-16,482488,9259
2021-02-17,483178,9349
2021-02-18,484367,9426
2021-02-19,485215,9574
2021-02-20,485989,9591
2021-02-21,486766,9593
2021-02-22,487439,9593
2021-02-23,488842,9663
2021-02-24,490138,9747
2021-02-25,491116,9835
2021-02-26,491868,9875
2021-02-27,492696,9934
2021-02-28,493257,9934
2021-03-01,493770,9936
2021-03-02,494442,9995
2021-03-03,497161,10033
2021-03-04,498085,10095
2021-03-05,498898,10125
2021-03-06,499445,10152
2021-03-07,499831,10152
2021-03-08,500098,10152
2021-03-09,500623,10189
2021-03-10,501403,10225
2021-03-11,502265,10279
2021-03-12,502726,10305
2021-03-13,503311,10333
2021-03-14,503680,10333
2021-03-15,508230,10335
2021-03-16,508733,10343
2021-03-17,509493,10368
2021-03-18,510060,10397
2021-03-19,510588,10429
2021-03-20,511098,10441
2021-03-21,511463,10441
2021-03-22,511782,10441
2021-03-23,511881,10456
2021-03-24,512718,10491
2021-03-25,513161,10511
2021-03-26,513605,10527
2021-03-27,514098,10530
2021-03-28,514415,10530
2021-03-29,514642,10530
2021-03-30,515015,10532
2021-03-31,515423,10558
2021-04-01,515893,10558
2021-04-02,516309,10611
2021-04-03,516662,10640
