Date,AK confirmed,AL confirmed,AK deaths,AL deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,1,0,0,0
2020-03-13,1,5,0,0
2020-03-14,1,11,0,0
2020-03-15,1,22,0,0
2020-03-16,3,29,0,0
2020-03-17,6,39,0,0
2020-03-18,6,51,0,0
2020-03-19,10,78,0,0
2020-03-20,13,106,0,0
2020-03-21,15,131,0,0
2020-03-22,23,167,0,0
2020-03-23,37,196,0,0
2020-03-24,42,242,0,0
2020-03-25,59,386,1,1
2020-03-26,69,531,1,1
2020-03-27,85,639,2,2
2020-03-28,102,717,2,3
2020-03-29,114,825,3,4
2020-03-30,119,941,3,6
2020-03-31,133,997,3,13
2020-04-01,142,1106,3,16
2020-04-02,147,1270,3,17
2020-04-03,157,1534,3,21
2020-04-04,171,1632,5,26
2020-04-05,185,1840,7,31
2020-04-06,191,2003,7,32
2020-04-07,213,2197,6,39
2020-04-08,226,2497,7,48
2020-04-09,236,2838,7,48
2020-04-10,247,3007,7,58
2020-04-11,258,3262,8,60
2020-04-12,273,3581,8,61
2020-04-13,278,3801,8,61
2020-04-14,286,3951,9,73
2020-04-15,294,4237,9,75
2020-04-16,301,4400,9,82
2020-04-17,310,4515,9,96
2020-04-18,315,4719,9,110
2020-04-19,320,4897,9,112
2020-04-20,322,5074,9,112
2020-04-21,330,5317,9,141
2020-04-22,336,5598,9,174
2020-04-23,338,5825,9,194
2020-04-24,340,6026,9,208
2020-04-25,340,6213,9,212
2020-04-26,342,6417,9,218
2020-04-27,346,6537,9,227
2020-04-28,352,6744,9,240
2020-04-29,356,6916,9,261
2020-04-30,356,7063,9,269
2020-05-01,365,7294,9,287
2020-05-02,366,7611,9,287
2020-05-03,369,7885,9,289
2020-05-04,371,8110,9,297
2020-05-05,372,8436,9,314
2020-05-06,373,8691,10,341
2020-05-07,375,9046,10,368
2020-05-08,378,9384,10,381
2020-05-09,379,9668,10,388
2020-05-10,380,9889,10,391
2020-05-11,382,10164,10,401
2020-05-12,384,10468,10,438
2020-05-13,384,10699,10,448
2020-05-14,388,11094,10,470
2020-05-15,388,11387,10,482
2020-05-16,388,11671,10,482
2020-05-17,397,11768,10,485
2020-05-18,400,12078,10,486
2020-05-19,400,12374,10,500
2020-05-20,402,13049,10,522
2020-05-21,402,13410,10,529
2020-05-22,404,13670,10,541
2020-05-23,408,14152,10,551
2020-05-24,408,14507,10,558
2020-05-25,409,15194,10,566
2020-05-26,411,15648,10,580
2020-05-27,412,16029,10,583
2020-05-28,425,16553,10,605
2020-05-29,430,17031,10,610
2020-05-30,434,17358,10,618
2020-05-31,460,17849,10,629
2020-06-01,467,18246,10,643
2020-06-02,487,18427,10,650
2020-06-03,505,18553,10,650
2020-06-04,513,18766,10,651
2020-06-05,524,19073,10,670
2020-06-06,536,19709,10,684
2020-06-07,544,20166,10,687
2020-06-08,563,20590,10,712
2020-06-09,573,21071,11,723
2020-06-10,593,21626,11,739
2020-06-11,610,22474,11,750
2020-06-12,625,23333,12,764
2020-06-13,652,24220,12,768
2020-06-14,661,25235,12,768
2020-06-15,664,26272,12,774
2020-06-16,676,26912,12,785
2020-06-17,696,27312,12,790
2020-06-18,708,28206,12,809
2020-06-19,721,29002,12,821
2020-06-20,742,29549,12,838
2020-06-21,753,30021,12,839
2020-06-22,759,30453,12,840
2020-06-23,759,31097,12,864
2020-06-24,759,32064,12,890
2020-06-25,784,33206,12,896
2020-06-26,835,34181,12,907
2020-06-27,835,35083,12,919
2020-06-28,876,35441,12,919
2020-06-29,900,37175,12,929
2020-06-30,932,38045,12,950
2020-07-01,967,38962,14,972
2020-07-02,1002,40111,14,985
2020-07-03,1044,41865,14,1006
2020-07-04,1088,42862,14,1007
2020-07-05,1115,43953,14,1007
2020-07-06,1166,44878,14,1007
2020-07-07,1184,45785,14,1033
2020-07-08,1226,46962,14,1058
2020-07-09,1269,49174,14,1068
2020-07-10,1319,50508,14,1104
2020-07-11,1378,51947,14,1114
2020-07-12,1474,53587,17,1121
2020-07-13,1539,55545,17,1124
2020-07-14,1585,57255,17,1164
