Date,Crashes
2021-01-10,176
2021-01-11,235
2021-01-12,273
2021-01-13,241
2021-01-14,251
2021-01-15,270
2021-01-16,261
2021-01-17,209
2021-01-18,225
2021-01-19,261
2021-01-20,253
2021-01-21,249
2021-01-22,253
2021-01-23,250
2021-01-24,212
2021-01-25,259
2021-01-26,262
2021-01-27,260
2021-01-28,263
2021-01-29,290
2021-01-30,283
2021-01-31,296
2021-02-01,239
2021-02-02,238
2021-02-03,245
2021-02-04,277
2021-02-05,323
2021-02-06,273
2021-02-07,242
2021-02-08,300
2021-02-09,229
2021-02-10,279
2021-02-11,298
2021-02-12,290
2021-02-13,209
2021-02-14,184
2021-02-15,207
2021-02-16,212
2021-02-17,239
2021-02-18,256
2021-02-19,199
2021-02-20,256
2021-02-21,208
2021-02-22,243
2021-02-23,239
2021-02-24,267
2021-02-25,268
2021-02-26,301
2021-02-27,220
2021-02-28,212
2021-03-01,224
2021-03-02,269
2021-03-03,242
2021-03-04,262
2021-03-05,306
2021-03-06,251
2021-03-07,216
2021-03-08,250
2021-03-09,297
2021-03-10,223
2021-03-11,287
2021-03-12,337
2021-03-13,250
2021-03-14,243
2021-03-15,253
2021-03-16,236
2021-03-17,243
2021-03-18,244
2021-03-19,308
2021-03-20,282
2021-03-21,261
2021-03-22,294
2021-03-23,282
2021-03-24,265
2021-03-25,256
2021-03-26,334
2021-03-27,322
2021-03-28,198
2021-03-29,237
2021-03-30,280
2021-03-31,284
2021-04-01,262
2021-04-02,282
2021-04-03,281
