Date,Crashes,Cases
2020-10-27,262,1991
2020-10-28,309,2031
2020-10-29,334,2499
2020-10-30,394,2255
2020-10-31,334,2112
2020-11-01,308,2192
2020-11-02,327,1633
2020-11-03,285,2321
2020-11-04,302,2126
2020-11-05,357,2997
2020-11-06,365,3209
2020-11-07,329,3587
2020-11-08,326,3428
2020-11-09,318,3144
2020-11-10,343,3965
2020-11-11,300,4820
2020-11-12,327,4797
2020-11-13,391,5401
2020-11-14,298,5388
2020-11-15,249,3649
2020-11-16,305,3490
2020-11-17,260,5088
2020-11-18,294,5294
2020-11-19,279,5310
2020-11-20,358,5468
2020-11-21,314,5973
2020-11-22,222,5391
2020-11-23,298,5906
2020-11-24,324,4881
2020-11-25,276,6265
2020-11-26,203,6933
2020-11-27,279,8176
2020-11-28,239,6063
2020-11-29,248,6723
2020-11-30,301,6819
2020-12-01,268,7285
2020-12-02,235,8973
2020-12-03,252,9855
2020-12-04,372,11271
2020-12-05,278,10761
2020-12-06,241,9702
2020-12-07,281,7302
2020-12-08,282,9335
2020-12-09,280,10600
2020-12-10,311,10178
2020-12-11,347,10595
2020-12-12,284,11129
2020-12-13,265,10194
2020-12-14,250,9044
2020-12-15,315,10353
2020-12-16,341,9998
2020-12-17,232,10914
2020-12-18,278,12697
2020-12-19,251,9919
2020-12-20,194,9957
2020-12-21,268,9007
2020-12-22,320,9716
2020-12-23,360,11937
2020-12-24,315,12568
2020-12-25,168,12446
2020-12-26,226,10806
2020-12-27,184,7623
2020-12-28,217,10407
2020-12-29,243,11438
2020-12-30,238,13422
2020-12-31,278,16802
2021-01-01,255,16497
2021-01-02,218,15074
2021-01-03,183,11368
2021-01-04,239,11209
2021-01-05,225,12666
2021-01-06,216,16648
2021-01-07,280,17636
2021-01-08,268,18832
2021-01-09,243,16943
2021-01-10,176,15355
2021-01-11,235,13714
2021-01-12,273,15214
2021-01-13,241,14577
2021-01-14,251,13661
2021-01-15,270,19942
2021-01-16,261,15998
2021-01-17,209,13842
2021-01-18,225,12185
2021-01-19,261,12512
2021-01-20,253,13364
2021-01-21,249,13886
2021-01-22,253,15144
2021-01-23,250,13786
2021-01-24,212,12720
2021-01-25,259,12003
2021-01-26,262,11064
2021-01-27,260,11028
2021-01-28,263,13398
2021-01-29,290,12579
2021-01-30,283,12804
2021-01-31,296,10793
2021-02-01,239,8439
2021-02-02,238,8215
2021-02-03,245,5925
2021-02-04,277,7414
2021-02-05,323,8777
2021-02-06,273,0
2021-02-07,242,21277
2021-02-08,300,8448
2021-02-09,229,7866
2021-02-10,279,7101
2021-02-11,298,10099
2021-02-12,290,8404
2021-02-13,209,8763
2021-02-14,184,8316
2021-02-15,207,6365
2021-02-16,212,6753
2021-02-17,239,6092
2021-02-18,256,6794
2021-02-19,199,8710
2021-02-20,256,7692
2021-02-21,208,6610
2021-02-22,243,6146
2021-02-23,239,6654
2021-02-24,267,6189
2021-02-25,268,8746
2021-02-26,301,0
2021-02-27,220,16345
2021-02-28,212,7580
2021-03-01,224,6235
2021-03-02,269,5800
2021-03-03,242,7704
2021-03-04,262,7593
2021-03-05,306,8956
2021-03-06,251,7647
2021-03-07,216,6789
2021-03-08,250,5309
2021-03-09,297,6850
2021-03-10,223,6489
2021-03-11,287,6747
2021-03-12,337,0
2021-03-13,250,15899
2021-03-14,243,5943
2021-03-15,253,5807
2021-03-16,236,6508
2021-03-17,243,8976
2021-03-18,244,7796
2021-03-19,308,8262
2021-03-20,282,7623
2021-03-21,261,7938
2021-03-22,294,6361
2021-03-23,282,6801
2021-03-24,265,7278
2021-03-25,256,8081
2021-03-26,334,8507
2021-03-27,322,8201
2021-03-28,198,9395
2021-03-29,237,7622
2021-03-30,280,6488
2021-03-31,284,8382
2021-04-01,262,8888
2021-04-02,282,7787
2021-04-03,281,7846
